year,site,total,Amar palm,Ambr arte,Aris adsc,Astr nutt,Astr spp_,Atri eleg,Atri wrig,Bahi bite,Bail mult,Boer cout,Boer inte,Boer spic,Boer spp_,Boer torr,Bout aris,Bout barb,Bout spp_,Cass lept,Chen frem,Chlo virg,Crot pumi,Cusc spp_,Dale brac,Dith wisl,Erag arid,Erag cili,Erig dive,Erio aber,Erio lemm,Erio poly,Erod cicu,Erod texa,Euph exst,Euph fend,Euph micr,Euph serp,Euph serr,grass unkn,Hapl grac,Ipom cost,Kall gran,Kall sp_2,Mach tanr,Moll cerv,Moll spp_,Moll vert,Pani ariz,Pani hirt,Pani mili,Pani spp_,Pect papp,Port parv,Port sp_2,Port spp_,Prob parv,Sals kali,Sanv aber,Sida spin,Sida spp_,Sola rost,Tali angu,Tali aura,Tide lanu,Trag bert,Tria port,Unk grass,Unkn sp_,Verb ence
1978,portal,2784,0,0,0,0,0,0,0,0,53,0,0,1,0,0,577,0,0,0,15,0,0,0,0,0,0,0,0,444,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,916,0,0,0,0,0,0,287,0,0,0,0,0,0,0,0,0,88,236,149,0,0,0,0,0
1979,portal,2596,0,0,0,0,0,0,0,0,257,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,2203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0
1980,portal,2130,0,0,0,0,0,0,0,0,5,0,0,110,0,0,327,0,0,0,41,0,0,0,0,0,0,0,0,1092,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,113,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,140,0,0,0,0,0
1981,portal,9114,0,0,28,0,0,0,0,0,0,0,0,1047,0,0,944,0,0,0,64,0,0,0,0,0,0,0,0,1773,0,0,0,0,0,162,0,0,0,0,0,0,0,0,0,2093,0,0,421,0,0,0,2116,0,0,0,0,0,0,0,0,0,50,117,299,0,0,0,0,0
1982,portal,4624,0,0,83,0,0,0,0,0,2,0,0,369,0,0,2711,0,0,0,0,0,0,0,0,0,0,0,0,802,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,57,0,2,84,0,0,0,137,0,0,0,0,0,0,0,0,0,52,106,152,0,0,0,0,0
1983,portal,13254,0,0,244,0,0,0,0,0,26,0,0,473,0,0,7126,0,0,0,185,0,0,0,0,0,0,0,0,4258,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,16,0,37,136,0,0,0,122,0,0,0,0,0,0,0,0,0,75,156,368,0,0,0,0,0
1984,portal,2560,0,0,21,0,0,0,0,0,320,0,0,31,0,0,773,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,637,0,76,85,0,0,0,152,0,0,0,0,0,0,0,0,0,98,130,103,0,0,0,0,0
1985,portal,2003,0,0,8,0,0,0,0,0,264,0,0,33,0,0,333,0,0,0,0,0,0,0,0,0,0,0,0,170,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,345,0,516,15,0,0,0,69,0,0,0,0,0,0,0,0,0,68,54,58,0,0,0,0,0
1986,portal,5804,0,0,165,0,0,0,0,0,416,0,0,371,0,0,718,0,0,0,0,0,0,0,0,0,0,0,0,172,0,0,0,0,0,981,0,0,0,0,0,0,0,0,0,186,0,2006,104,0,0,0,370,0,0,0,0,0,0,0,0,0,64,99,152,0,0,0,0,0
1987,portal,28033,0,0,1560,0,0,0,0,0,788,0,0,1427,0,0,4572,0,0,0,0,0,0,0,0,0,0,0,0,484,0,0,0,0,0,7577,0,0,0,0,0,0,0,0,0,3434,0,3931,184,0,0,0,3319,0,0,0,0,0,0,0,0,0,56,177,524,0,0,0,0,0
1988,portal,11749,0,0,802,0,0,0,0,0,75,0,0,398,0,0,3916,0,0,0,12,0,0,0,0,0,0,0,0,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,5531,34,0,0,0,414,0,0,0,0,0,0,0,0,0,48,114,123,0,0,0,0,0
1989,portal,108309,186,1,17553,0,0,0,0,0,160,0,2607,0,0,203,63232,2289,0,12,0,0,328,0,481,29,120,10,0,32,284,0,22,0,19,0,238,3714,372,0,48,0,36,0,0,1618,0,112,0,349,46,0,4914,8605,0,0,0,0,2,409,0,0,0,0,251,4,4,0,0,19
1990,portal,158992,213,0,39210,0,0,0,0,0,28,0,2816,0,0,21,104974,1379,0,9,0,4,205,0,866,1,19,0,0,10,158,0,0,0,3,0,181,867,141,0,0,1,26,0,0,276,0,15,395,416,2,0,5544,884,0,0,0,1,12,28,0,0,0,0,266,0,18,0,0,3
1991,portal,25410,35,0,6364,0,0,0,0,44,102,0,80,0,0,6,18002,1,0,0,41,0,3,0,22,0,0,0,0,399,0,0,0,0,0,0,5,25,8,0,8,0,0,0,7,4,0,0,65,6,25,0,51,34,0,0,0,0,0,40,0,0,0,0,33,0,0,0,0,0
1992,portal,13103,0,1,12,0,0,0,0,19,10,0,5,0,0,5,20,0,0,0,15,0,0,0,14,0,0,0,18,2851,0,0,0,0,0,0,1,3,1,0,10029,0,0,0,56,0,0,0,3,0,0,0,0,5,0,0,0,0,0,34,0,0,0,0,1,0,0,0,0,0
1993,portal,2673,0,15,56,0,0,0,0,4,1,0,55,0,0,11,320,1,0,1,1,0,261,0,593,1,0,0,0,174,0,0,0,0,5,0,127,7,15,0,275,0,2,0,2,470,0,10,85,4,2,0,59,23,0,0,2,0,0,50,0,0,0,0,40,0,1,0,0,0
1994,portal,340,0,1,10,0,0,0,0,0,2,0,0,0,0,25,122,6,0,1,0,0,10,0,4,4,0,0,0,88,0,0,0,0,0,0,2,1,2,0,7,0,0,0,0,0,0,0,35,6,7,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
1995,portal,1863,3,2,0,0,0,0,0,0,5,3,67,0,0,0,30,3,10,0,30,0,9,0,0,0,0,0,3,642,0,0,0,0,1,0,6,21,3,0,953,0,3,0,22,3,0,2,3,7,0,3,0,1,0,0,0,0,0,16,0,0,0,0,12,0,0,0,0,0
1996,portal,4010,2,12,0,0,0,0,0,2,0,89,1137,0,13,1,1408,918,0,0,0,0,4,0,58,0,0,0,0,0,0,0,0,0,0,0,3,203,12,0,0,0,7,0,3,0,0,0,4,60,1,1,16,0,0,0,0,0,0,6,0,0,0,0,50,0,0,0,0,0
1997,portal,28258,12,14,4259,0,0,0,0,0,3,0,520,0,256,163,708,38,19745,0,8,0,98,1,38,0,0,0,0,1102,0,0,0,0,6,0,32,348,55,0,202,7,8,0,13,111,0,0,0,141,0,0,89,0,0,0,0,0,0,0,0,0,0,0,279,0,2,0,0,0
1998,portal,3416,5,6,49,0,0,0,2,0,0,0,673,0,156,172,82,71,641,0,10,0,26,44,374,0,0,0,0,844,0,0,0,0,0,0,6,26,2,0,14,1,5,0,1,3,5,4,31,4,1,23,19,0,0,0,0,0,0,2,0,0,0,0,109,0,5,0,0,0
1999,portal,2754,13,0,0,0,0,0,0,0,0,0,168,0,0,227,374,490,0,3,0,0,36,5,437,0,0,0,0,0,0,0,349,0,0,0,13,54,17,0,0,1,3,0,0,139,0,19,118,78,25,12,11,0,0,0,0,0,0,5,0,0,0,0,121,0,2,0,34,0
2000,portal,3062,1,0,582,0,0,0,0,0,0,0,145,0,158,0,958,865,163,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,3,0,0,0,0,1,39,26,2,0,0,0,0,0,0,0,1,2,8,0,0,0,103,0,0,0,0,0
2001,portal,1415,1,7,40,0,0,0,0,1,7,0,75,0,26,43,127,100,24,3,0,0,7,0,51,0,0,0,9,519,1,0,3,3,0,0,0,19,21,15,86,2,3,0,3,5,0,0,17,34,0,0,6,0,0,0,0,0,0,4,0,0,0,0,153,0,0,0,0,0
2002,portal,11513,273,40,679,0,0,0,0,0,0,0,581,0,0,259,716,2059,0,51,0,5,281,0,1854,0,0,4,0,39,21,0,40,0,5,0,19,182,22,0,0,145,72,0,0,603,0,114,769,842,231,0,126,4,0,33,0,0,1,23,0,0,0,0,1388,3,0,0,21,8
2003,portal,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2004,portal,13804,192,0,425,0,2,0,0,0,4,0,246,0,4,508,386,4835,0,14,1,10,200,5,288,0,0,0,0,126,21,0,263,0,11,0,132,758,38,0,1,48,38,0,0,256,0,1545,297,913,24,12,583,40,0,0,0,0,29,4,0,0,0,0,1498,9,38,0,0,0
2005,portal,14374,48,11,1031,0,0,8,0,0,3,0,1294,0,0,602,3239,5276,0,3,0,0,29,0,67,0,9,0,0,433,0,24,0,0,2,0,2,150,3,0,15,54,21,0,1,0,0,0,27,891,0,0,247,3,0,0,1,0,1,13,0,3,0,0,835,0,22,0,6,0
2006,portal,16975,118,0,1058,508,0,0,0,0,1,0,712,0,0,303,1226,1836,0,18,0,2,140,5,174,0,34,6,0,24,25,9,6611,0,9,0,123,629,131,0,0,16,104,4,0,113,0,372,438,531,14,0,582,17,1,0,0,7,16,14,0,0,0,0,990,5,47,0,0,2
2007,portal,14494,146,12,3158,0,0,0,0,0,4,0,1592,0,0,444,6474,1653,0,1,0,7,43,0,96,0,0,41,2,1,32,0,0,0,1,0,5,42,1,0,19,2,6,1,0,0,0,1,3,130,10,0,164,3,0,0,0,0,3,3,0,1,0,0,354,2,0,28,9,0
2008,portal,36697,2857,0,14257,0,0,0,0,0,0,0,86,0,0,31,12954,1041,0,132,1,18,630,0,490,0,390,7,0,1,1,0,0,0,0,0,0,3,2,0,0,3,29,0,0,5,0,1,1873,1178,153,0,1,4,0,0,0,0,0,23,0,0,0,0,526,0,0,0,0,0
2009,portal,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
