year,site,total,Ambr arte,Amsi inte,Amsi tess,Andr occi,Astr allo,Astr nutt,Astr spp_,Bail mult,Brom rube,Caly wrig,Chae stev,Chen frem,Chor tene,Cryp cras,Cryp micr,Cryp sp_3,Cryp sp_4,D_ sp2,Dale brac,Delp sp_,Desc pinn,Desc sp2,Dich pulc*,Dith wisl,Eria diff,Erig dive,Erio aber,Erio lemm,Erod cicu,Erod texa,Esch mexi,Gili sinu,Hapl grac,Hoff dens*,Lapp redo,Lepi lasi,Lesq gord,Lina bige,Lina sp_,Lina texa,Linanthus_sp_,Lupi cocc,Lupi sp_,Lupi sp_2,Mala fend,Micr lene,Nama hisp,Oeno prim,Oeno sp_,Pani hirt,Pech?,Pect sp 1,Pect sp_,Phac ariz,Plag ariz,Plan purs,Rume sp*,Schi barb,Sisy irio,Sper echi,Step exig,unk grass,unk1,unk2,unk3,unk4,unk5,Unkn must,Unkn sp_,Verb ence,Vulp octo
1978,Portal,32972,0,0,0,0,0,0,0,407,0,0,0,0,0,16,2067,0,0,0,0,0,705,0,0,0,1574,198,27505,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334,0,0,0,0,0,0,0,0,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,Portal,8294,0,0,0,0,0,0,0,283,0,0,0,0,0,0,426,0,0,0,0,0,1725,0,0,0,1450,1286,2495,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,413,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,Portal,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1981,Portal,5918,0,0,0,0,2,2,0,3,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,-9,42,4746,0,960,2,0,65,0,0,0,0,1,0,0,0,0,0,2,0,91,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982,Portal,28209,0,0,0,0,13,0,0,58,0,0,5,0,0,145,357,0,0,0,0,0,1511,0,10,0,3793,49,20222,0,108,3,0,405,152,14,0,40,31,0,0,0,0,0,2,0,925,17,0,0,4,0,0,0,0,259,0,2,2,0,0,82,0,0,0,0,0,0,0,0,0,0,0
1983,Portal,41319.6,0,0,0,0,23,44,0,71,0,0,10,0,0,241,1237.6,0,0,0,0,0,2613,0,104,0,14140,74,18534,0,449,8,108,687,66,33,0,94,59,0,0,0,0,0,3,0,1860,60,0,0,80,0,0,0,0,328,0,64,4,0,0,318,7,0,0,0,0,0,0,0,0,0,0
1984,Portal,107672,0,0,0,0,127,89,0,918,0,0,147,0,0,1476,2817,0,0,0,0,0,1522,0,67,0,85422,1578,1192,0,4708,27,2,2536,414,10,0,42,884,0,0,0,0,0,216,0,823,176,0,0,16,0,0,0,0,98,0,1255,210,0,0,850,50,0,0,0,0,0,0,0,0,0,0
1985,Portal,31338,0,0,0,0,40,86,0,1374,0,0,90,0,0,539,981,0,0,0,0,0,1281,0,48,0,17899,380,1143,0,2536,47,4,369,1858,0,0,21,232,0,0,0,0,0,5,0,671,202,0,0,16,0,0,0,0,25,0,643,104,0,0,533,211,0,0,0,0,0,0,0,0,0,0
1986,Portal,16731,0,0,0,0,14,180,0,992,0,0,207,0,0,85,327,0,0,0,0,0,183,0,17,0,2171,566,1280,0,719,77,138,13,8652,0,0,20,142,0,0,0,0,0,2,0,93,19,0,0,0,0,0,0,0,7,0,412,0,0,0,374,41,0,0,0,0,0,0,0,0,0,0
1987,Portal,57705,0,0,0,0,52,444,0,1177,0,0,430,0,0,163,2166,0,0,0,0,0,1096,0,68,0,7213,1766,6340,0,2653,121,43,448,28568,52,0,52,229,0,0,0,0,0,177,0,628,194,0,0,68,0,0,0,0,211,0,1633,74,0,0,1348,291,0,0,0,0,0,0,0,0,0,0
1988,Portal,28467,0,0,0,0,5,538,0,69,0,0,725,0,0,21,561,0,0,0,0,0,189,0,81,0,4210,41,841,0,643,11,157,84,18625,39,0,19,42,0,0,0,0,0,133,0,131,81,0,0,54,0,0,0,0,32,0,480,56,0,0,465,134,0,0,0,0,0,0,0,0,0,0
1989,Portal,121702,0,0,0,0,18,1718,0,764,0,0,21,0,0,132,650,0,0,0,0,0,104,0,6,0,1730,705,2066,0,2073,24,0,2,109761,13,0,20,115,0,0,0,0,0,3,0,5,4,0,0,24,0,0,0,0,10,0,671,14,0,0,951,68,0,0,0,0,0,0,0,0,0,30
1990,Portal,1090,0,0,0,0,26,357,0,161,0,0,0,0,0,0,1,0,0,0,46,0,0,0,0,31,3,7,10,25,226,55,0,4,91,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,31,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0
1991,Portal,4704,1,0,0,0,18,766,0,131,0,1,28,87,0,12,58,0,0,0,2,0,41,0,0,41,619,150,478,0,26,2,5,97,1296,0,1,8,8,0,0,0,0,61,0,0,121,28,2,35,0,0,0,0,0,100,3,37,0,0,0,315,54,0,0,0,0,0,0,0,0,4,68
1992,Portal,78470,1,0,0,0,16,854,0,31,0,22,628,42,0,16,214,0,0,0,717,0,509,0,0,4,8761,154,13459,0,105,0,6,844,48614,0,22,226,307,0,0,0,0,182,0,0,252,88,0,22,0,0,0,0,0,69,2,833,0,0,0,693,339,0,0,0,0,0,0,0,0,0,438
1993,Portal,91919,6,0,0,0,63,3739,0,29,0,3,985,66,0,41,746,0,0,0,1,0,1258,0,0,0,5556,136,4254,0,555,106,30,1522,64321,0,11,353,545,0,0,0,0,237,0,0,222,225,0,4,0,0,0,0,0,49,0,1540,0,0,0,1067,270,0,0,0,0,0,0,0,0,0,3979
1994,Portal,11686,10,0,0,0,5,794,0,18,0,101,1024,25,0,13,758,0,0,0,0,0,281,0,0,7,1758,5,535,0,1307,50,14,44,1301,0,17,112,40,0,0,0,0,4,0,0,5,186,0,0,0,0,2,0,0,5,0,842,0,0,0,47,220,0,0,0,0,0,0,0,0,0,2156
1995,Portal,36564,15,0,0,0,58,10413,0,30,1,253,651,181,0,68,2311,0,0,21,0,0,981,0,0,3,5590,38,1464,0,1289,39,120,1338,2259,0,53,301,416,0,0,7,0,356,0,181,1,133,15,61,0,0,0,0,13,496,29,837,0,0,0,1892,245,0,0,0,0,0,0,0,0,0,4405
1996,Portal,14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,Portal,27253,32,1,0,17,5,4033,0,42,0,0,1169,17,2,173,818,0,0,0,0,1,240,0,0,0,914,7,3862,0,7615,45,236,108,2506,0,255,38,1023,189,0,0,0,74,0,191,16,238,0,58,0,0,0,0,243,441,72,1524,0,5,0,357,44,0,0,0,0,0,0,0,0,0,642
1998,Portal,21561,1,0,0,2,4,938,0,4,0,2,1034,42,0,25,79,7,20,0,0,1,86,0,0,0,154,3,2408,0,13778,38,73,11,99,0,225,4,289,89,0,0,0,28,0,21,3,198,0,4,0,0,0,0,231,21,43,900,0,41,0,137,15,0,1,1,4,1,1,0,0,0,495
1999,Portal,178,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,69,0,86,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,Portal,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2001,Portal,16477,0,0,0,0,40,4179,0,31,0,10,850,544,0,110,329,0,0,0,0,59,385,3,7,0,389,60,9,0,6935,46,78,63,111,0,1,16,796,0,0,5,0,24,64,0,14,19,4,86,0,0,0,0,68,302,14,233,58,0,0,342,7,13,1,1,0,0,0,0,0,0,171
2002,Portal,4256,4,0,0,0,0,4,10,0,0,0,399,0,0,1,0,0,0,0,0,0,0,0,0,0,2,5,993,0,2709,112,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,Portal,19278,0,0,0,0,1,28,477,1,0,0,169,0,0,17,3,0,0,0,0,0,288,0,0,0,48,0,177,0,17045,73,0,0,38,0,35,0,376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,250,0,0,0,10,0,0,0,0,0,0,0,9,0,0,222
2004,Portal,18557,0,0,1,0,9,424,0,5,0,2,421,0,0,10,33,0,0,0,0,0,232,0,0,0,33,1,364,0,15904,38,69,10,23,0,18,15,489,14,0,0,0,0,0,1,7,17,0,28,0,0,0,0,85,11,21,97,0,0,0,34,2,0,0,0,0,0,0,0,0,0,139
2005,Portal,28616,0,0,16,1,22,2503,0,1,0,4,3070,0,0,194,69,0,0,0,0,6,591,0,0,0,181,1,6683,0,11115,17,42,23,384,0,0,66,1086,573,0,0,0,7,30,39,0,63,0,22,0,27,0,0,259,24,98,343,0,0,1,71,29,0,0,0,0,0,0,0,2,0,953
2006,Portal,8,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2007,Portal,11365,0,0,0,0,3,1646,0,18,0,0,6,4,0,24,3,0,0,0,4,4,21,0,0,0,26,13,10,0,9171,13,1,1,31,0,1,3,140,0,0,0,0,7,0,0,0,0,2,2,0,0,0,0,6,0,0,99,0,0,0,44,0,0,0,0,0,0,0,0,12,0,50
2008,Portal,9988,0,0,2,0,0,1169,0,5,0,0,77,4,0,33,7,0,0,0,4,1,229,0,0,14,33,48,56,0,7192,16,6,22,371,0,0,8,106,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,18,1,0,475,0,0,0,19,0,0,0,0,0,0,0,0,45,0,23
2009,Portal,65,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,29,1,0,0,0,0,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
